Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,310,514,385,362,856,1508
2019,295,552,327,342,699,1459
2020,289,480,204,259,453,1248
2021,369,686,199,274,364,1572
2022,298,803,201,239,455,1299
2023,229,545,241,263,449,1618
