Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,71,294,36,0,0,0
2019,92,254,15,2,2,0
2020,75,200,13,0,0,0
2021,102,280,27,0,0,0
2022,107,304,18,0,2,0
2023,133,274,17,0,2,9
