Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,658,2178,773,731,1089,1816
2019,676,2166,821,656,937,1679
2020,431,1591,575,496,677,1388
2021,594,2165,844,614,733,1910
2022,782,2265,900,728,1000,2159
2023,855,2507,838,822,1054,2143
