Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,14,0,0,0,0
2020,0,0,0,0,0,0
2021,7,15,9,0,0,0
2022,0,33,0,0,0,0
2023,0,47,0,0,0,0
