Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,216,459,80,229,69,244
2019,205,473,118,184,112,303
2020,114,363,119,73,104,216
2021,182,576,205,1,78,266
2022,287,561,223,163,46,128
2023,213,504,223,203,7,20
