Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,544,1074,625,366,123,2
2019,481,1007,576,242,147,21
2020,377,755,429,142,167,33
2021,484,1098,407,123,172,88
2022,579,1265,562,229,147,114
2023,522,1145,643,270,210,128
