Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1,0,0,0,0,0
2019,0,1,0,0,0,0
2020,4,0,0,1,0,0
2021,0,1,0,0,1,0
2022,4,2,0,0,0,0
2023,0,1,0,0,0,0
