Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,255,331,126,0,0,0
2019,216,345,95,0,2,0
2020,198,343,50,0,4,0
2021,320,413,79,0,3,2
2022,353,423,54,0,7,2
2023,297,427,91,2,0,0
