Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,63,176,547,39,67,0
2019,56,158,421,26,61,0
2020,47,127,253,17,27,0
2021,52,206,318,29,60,8
2022,58,260,361,35,91,15
2023,81,244,367,26,37,8
