Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,33,19,2,0,0,0
2019,25,17,2,0,0,0
2020,22,22,2,0,0,0
2021,40,33,7,0,0,0
2022,29,26,5,0,1,0
2023,13,16,4,0,3,0
