Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,40,83,0,0,0,0
2019,22,82,2,0,0,0
2020,18,56,0,0,0,0
2021,99,86,4,0,6,0
2022,176,100,2,3,2,0
2023,185,99,6,1,0,0
