Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,351,1071,437,193,533,413
2019,314,1009,500,151,583,309
2020,245,744,414,114,302,253
2021,414,1075,457,127,380,339
2022,492,1184,509,127,495,487
2023,439,1065,549,184,696,484
