Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,893,2234,453,0,8,0
2019,933,2426,319,0,10,0
2020,676,1831,242,0,12,2
2021,1011,3178,475,12,41,11
2022,1085,3529,482,0,123,15
2023,1028,3376,429,1,28,26
