Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,58,109,22,0,0,0
2019,50,88,18,0,2,0
2020,37,74,14,0,0,0
2021,61,98,11,0,0,2
2022,83,142,14,0,0,2
2023,72,141,11,0,0,3
