Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,58,109,22,0,0,0
2019,50,88,18,0,2,0
2020,38,73,13,0,0,0
2021,60,98,11,0,0,2
2022,83,141,14,0,0,2
2023,72,140,11,0,0,3
