Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,40,83,0,0,0,0
2019,22,82,2,0,0,0
2020,16,55,0,0,0,0
2021,99,85,2,0,0,0
2022,170,98,0,3,0,0
2023,184,100,6,1,0,0
