Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,364,668,403,145,15,0
2019,300,678,357,140,2,1
2020,261,642,161,114,9,0
2021,391,750,245,126,9,2
2022,413,715,238,168,20,3
2023,381,791,290,160,6,0
