Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,10,0,0,0,0
2020,0,0,0,48,0,0
2021,33,130,73,2,60,212
2022,40,255,105,40,87,268
2023,9,248,142,0,91,344
