Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,3,0,0,0,0,0
2019,4,0,0,0,0,0
2020,0,0,0,4,0,9
2021,0,0,0,0,0,0
2022,0,0,0,6,0,0
2023,1,1,1,0,0,0
