Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,254,423,12,0,2,0
2019,258,381,18,0,8,0
2020,196,294,15,0,5,0
2021,306,513,17,0,16,0
2022,338,550,20,0,10,2
2023,284,487,11,0,9,0
