Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,429,1449,1210,140,17,0
2019,451,1328,1071,202,8,0
2020,275,873,771,79,13,3
2021,422,1841,1188,191,80,12
2022,441,1879,1244,222,251,20
2023,500,2208,1295,162,106,99
