Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,269,346,68,2,2,0
2019,222,303,43,0,4,0
2020,191,290,26,2,0,0
2021,218,378,22,2,0,4
2022,333,413,17,0,0,2
2023,247,376,17,2,0,5
