Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,29,0,0,0
2019,4,3,0,1,0,1
2020,0,0,0,0,0,0
2021,0,0,0,0,0,0
2022,0,0,0,0,0,0
2023,1,2,0,0,0,0
