Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,862,2585,1582,148,26,0
2019,620,2392,1060,74,21,0
2020,527,1733,787,61,29,7
2021,721,2590,1254,282,64,163
2022,910,2993,1341,196,86,142
2023,815,3196,1210,174,66,296
