Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,440,777,959,429,1044,1083
2019,399,913,868,313,814,1135
2020,393,670,575,279,580,797
2021,567,728,625,393,298,691
2022,700,880,614,469,278,619
2023,584,954,619,475,418,1039
