Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,571,1540,931,87,16,0
2019,416,1466,619,28,16,0
2020,353,953,429,28,26,5
2021,535,1510,740,188,50,171
2022,694,1730,811,108,67,170
2023,571,1788,764,71,50,304
