Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,3,5,0,0,0,0
2019,6,11,2,0,0,0
2020,3,3,58,0,0,0
2021,33,1,75,0,0,0
2022,43,3,79,0,0,0
2023,56,14,54,0,0,0
