Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,144,537,188,77,281,249
2019,195,613,183,45,155,240
2020,136,440,71,61,155,185
2021,183,590,47,173,160,210
2022,184,408,39,143,125,192
2023,227,566,49,17,139,258
