Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1,5,1,0,0,0
2019,3,11,0,0,0,0
2020,2,3,58,0,0,0
2021,27,1,76,0,0,0
2022,41,3,79,0,0,0
2023,55,14,54,0,0,0
