Bridge,Daily Trips,Total Trips
ST. JOHNS ,0.6730937773882559,1536.0
GOVERNOR MARIO M CUOMO ,0.6367221735319895,1453.0
TACONY-PALMYRA ,0.5214723926380368,1190.0
BETSY ROSS  (PA),0.521034180543383,1189.0
LA0001 over PORT ALLEN CANAL (LA),0.4767747589833479,1088.0
VINCENT R CSCIANO MEMORIAL ,0.44609991235758106,1018.0
GALVESTON CAUSEWAY (TX),0.41761612620508326,953.0
WHITESTONE ,0.24496056091148116,559.0
THROGS NECK ,0.23751095530236635,542.0
JAMES RIVER  (VA),0.2151621384750219,491.0
JFK CAUSEWAY,0.147239263803681,336.0
FREEMONT ,0.14680105170902716,335.0
NB SR 16 OVER TACOMA NARROWS,0.11481156879929887,262.0
TACOMA NARROWS  (WA),0.11481156879929887,262.0
REDFISH BAY CAUSEWAY,0.08019281332164768,183.0
RICHARD I. BONG MEMORIAL  (MN-WI),0.06704645048203331,153.0
GIL HODGES MEMORIAL ,0.06091148115687993,139.0
WEST SEATTLE  (WA),0.05959684487291849,136.0
QUEEN ISABELLA CAUSEWAY,0.05346187554776512,122.0
GIRARD POINT ,0.049079754601226995,112.0
BERKLEY  (VA),0.04513584574934268,103.0
PELICAN ISLAND CAUSEWAY (TX),0.04425942156003506,101.0
BALLARD  (WA),0.04075372480280456,93.0
GEORGE C PLATT MEMORIAL ,0.03987730061349693,91.0
HAMPTON ROADS  TUNNELS (VA),0.03856266432953549,88.0
MACARTHUR CAUSEWAY(FL),0.03724802804557406,85.0
SE 17TH STREET ,0.030236634531113058,69.0
EAST 11TH STREET OVER HYLEBOS WATERWAY,0.028045574057843997,64.0
CHRISTINA RIVER  (DE),0.02673093777388256,61.0
MATHEWS  MUFFIN(FL),0.025416301489921123,58.0
AURORA ,0.014899211218229623,34.0
CALCASIEU RIVER ,0.014460999123575811,33.0
SR-105 OVER CLAPBOARD CREEK A(FL),0.014022787028921999,32.0
ANDREWS AVENUE ,0.011831726555652936,27.0
SE 3RD AVENUE ,0.010078878177037686,23.0
GLENN L JACKSON MEMORIAL ,0.009640666082383873,22.0
OREGON WASHINGTON ,0.009640666082383873,22.0
WILLIAM H MARSHALL ,0.008326029798422436,19.0
UNIVERSITY  (WA),0.007887817703768623,18.0
SR 513 OVER MONTLAKE CUT,0.007449605609114811,17.0
I-5 OVER LAKE WASH SHIP CANAL (WA),0.007011393514460999,16.0
STATE ROUTE 37 over NAPA RIVER AND WILSON AV,0.007011393514460999,16.0
WICHELS(MARE ISLAND) CAUSEWAY,0.007011393514460999,16.0
LAFAYETTE RIVER  (VA),0.006573181419807186,15.0
THE BAY ,0.0056967572304995615,13.0
GANDY (FL),0.0052585451358457495,12.0
SABINE LAKE CAUSEWAY ,0.0052585451358457495,12.0
EVERGREEN POINT FLOATING  (WA) ,0.004820333041191937,11.0
HOWARD FRANKLAND (FL),0.004820333041191937,11.0
HART (FL),0.0043821209465381246,10.0
CROSS BAY VETRANS MEMORIAL ,0.003943908851884312,9.0
JOHN T ALSOP JR. (FL),0.003943908851884312,9.0
ACOSTA (FL),0.0035056967572304996,8.0
FEC STRAUSS TRUNNION BASCULE (FL),0.0035056967572304996,8.0
FULLER WARREN (FL),0.0035056967572304996,8.0
HENRY H BUCKMAN (FL),0.0035056967572304996,8.0
BROADWAY ,0.003067484662576687,7.0
CAMPOSTELLA  (VA),0.003067484662576687,7.0
NAVAL ACADEMY  (MD),0.003067484662576687,7.0
WILLIAM M POWELL ,0.003067484662576687,7.0
GRANBY STREET  (VA),0.0026292725679228747,6.0
QUEENS WAY S over QUEENSWAY DR,0.0026292725679228747,6.0
MACARTHUR CAUSEWAY ICW (FL),0.0021910604732690623,5.0
SR 104 over HOOD CANAL (WA),0.0021910604732690623,5.0
SR 104 WESTHALF over HOOD CANAL (WA),0.0021910604732690623,5.0
WEST NORFOLK  (VA),0.0021910604732690623,5.0
WILLIAM A. BUGGE (WA),0.0021910604732690623,5.0
JULIA BUTLER HANSEN ,0.0017528483786152498,4.0
SEARS POINT ,0.0017528483786152498,4.0
VICTORY ,0.0017528483786152498,4.0
DELGADO MEMORIAL (FL),0.0013146362839614374,3.0
HWY A1A(SR-105) OVER CLAPBOARD CREEK(FL),0.0013146362839614374,3.0
PUENTE DE LA CONSTITUCION,0.0013146362839614374,3.0
QUEENSBOUROUGH ,0.0013146362839614374,3.0
RICHARDSON BAY FREEWAY ,0.0013146362839614374,3.0
SR 305 OVER AGATE PASS  (WA),0.0013146362839614374,3.0
