longitude,latitude,time
-89.98411,29.70693,Wed Jan  5 06:34:17 2022
-89.98406,29.70692,Wed Jan  5 06:46:12 2022
-89.98405,29.70692,Wed Jan  5 06:37:17 2022
-89.9841,29.70692,Wed Jan  5 06:49:12 2022
-89.9841,29.70692,Wed Jan  5 06:31:13 2022
-89.98405,29.70692,Wed Jan  5 06:40:12 2022
-89.98413,29.70691,Wed Jan  5 06:58:18 2022
-89.98408,29.7069,Wed Jan  5 02:46:12 2022
-89.9841,29.70691,Wed Jan  5 06:55:16 2022
-89.98413,29.70689,Wed Jan  5 07:01:17 2022
-89.98409,29.70691,Wed Jan  5 06:52:15 2022
-89.98417,29.70689,Wed Jan  5 07:04:16 2022
-89.98417,29.70689,Wed Jan  5 07:07:17 2022
-89.98401,29.70696,Wed Jan  5 02:55:16 2022
-89.98413,29.70687,Wed Jan  5 07:13:15 2022
-89.98403,29.70691,Wed Jan  5 07:22:12 2022
-89.98417,29.7069,Wed Jan  5 07:10:17 2022
-89.98411,29.7069,Wed Jan  5 07:16:16 2022
-89.984,29.70694,Wed Jan  5 07:25:13 2022
-89.98411,29.7069,Wed Jan  5 07:40:13 2022
-89.98399,29.70692,Wed Jan  5 07:28:16 2022
-89.98408,29.7069,Wed Jan  5 07:19:13 2022
-89.98411,29.70692,Wed Jan  5 07:43:18 2022
-89.98411,29.7069,Wed Jan  5 07:46:18 2022
-89.98405,29.70693,Wed Jan  5 07:37:18 2022
-89.98402,29.70692,Wed Jan  5 07:31:16 2022
-89.98405,29.70693,Wed Jan  5 07:34:16 2022
-89.98405,29.70693,Wed Jan  5 07:58:13 2022
-89.98412,29.70692,Wed Jan  5 07:49:17 2022
-89.98407,29.70692,Wed Jan  5 07:55:16 2022
-89.98408,29.70693,Wed Jan  5 08:04:16 2022
-89.98411,29.70697,Wed Jan  5 07:52:13 2022
-89.9841,29.7069,Wed Jan  5 08:07:18 2022
-89.98402,29.70689,Wed Jan  5 03:19:16 2022
-89.98417,29.70686,Wed Jan  5 08:22:18 2022
-89.98417,29.70699,Wed Jan  5 08:16:16 2022
-89.98407,29.70687,Wed Jan  5 08:10:18 2022
-89.98413,29.70695,Wed Jan  5 08:13:16 2022
-89.98417,29.70696,Wed Jan  5 08:19:14 2022
-89.98427,29.70685,Wed Jan  5 08:40:17 2022
-89.9842,29.70687,Wed Jan  5 08:28:13 2022
-89.98417,29.70684,Wed Jan  5 08:25:18 2022
-89.98432,29.70687,Wed Jan  5 08:46:13 2022
-89.98419,29.70691,Wed Jan  5 08:31:13 2022
-89.98427,29.70688,Wed Jan  5 08:37:18 2022
