MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
309734000,2018-01-05T00:25:04,29.70388,-95.01623,9.2,306.0,309,GULF MIST,IMO9335147,C6VP8,80,0,184,27,11.3,81,A
309734000,2018-01-05T00:27:08,29.70777,-95.02005,8.1,335.0,346,GULF MIST,IMO9335147,C6VP8,80,0,184,27,11.3,81,A
