longitude,latitude,time
-89.28597,28.66088,Thu Jan  7 02:11:40 2021
-89.2865,28.66115,Thu Jan  7 02:12:50 2021
-89.28703,28.66143,Thu Jan  7 02:14:00 2021
-89.28773,28.66182,Thu Jan  7 02:15:30 2021
-89.28822,28.66208,Thu Jan  7 02:16:31 2021
-89.2888,28.66237,Thu Jan  7 02:17:40 2021
-89.28945,28.6627,Thu Jan  7 02:19:00 2021
-89.2901,28.66307,Thu Jan  7 02:20:21 2021
-89.29068,28.6634,Thu Jan  7 02:21:31 2021
-89.29125,28.6637,Thu Jan  7 02:22:41 2021
-89.29193,28.66407,Thu Jan  7 02:24:01 2021
-89.29252,28.66437,Thu Jan  7 02:25:11 2021
-89.2932,28.66472,Thu Jan  7 02:26:31 2021
-89.29377,28.66502,Thu Jan  7 02:27:41 2021
-89.29432,28.66528,Thu Jan  7 02:28:50 2021
-89.2948,28.66557,Thu Jan  7 02:30:02 2021
-89.2953,28.66582,Thu Jan  7 02:31:11 2021
-89.29583,28.66608,Thu Jan  7 02:32:21 2021
-89.29637,28.66638,Thu Jan  7 02:33:32 2021
-89.2969,28.66667,Thu Jan  7 02:34:41 2021
-89.29738,28.66692,Thu Jan  7 02:35:42 2021
-89.29788,28.66718,Thu Jan  7 02:36:51 2021
-89.29845,28.66748,Thu Jan  7 02:38:01 2021
-89.29898,28.66778,Thu Jan  7 02:39:11 2021
-89.29952,28.66812,Thu Jan  7 02:40:20 2021
-89.30005,28.6684,Thu Jan  7 02:41:31 2021
-89.3006,28.66873,Thu Jan  7 02:42:41 2021
-89.30107,28.669,Thu Jan  7 02:43:42 2021
-89.30162,28.66933,Thu Jan  7 02:44:51 2021
-89.30215,28.66965,Thu Jan  7 02:46:00 2021
-89.30268,28.67,Thu Jan  7 02:47:11 2021
-89.30322,28.67032,Thu Jan  7 02:48:21 2021
-89.30375,28.67068,Thu Jan  7 02:49:31 2021
-89.3043,28.67105,Thu Jan  7 02:50:41 2021
-89.30483,28.6714,Thu Jan  7 02:51:50 2021
-89.30542,28.67173,Thu Jan  7 02:53:01 2021
-89.30598,28.6721,Thu Jan  7 02:54:11 2021
-89.30663,28.6725,Thu Jan  7 02:55:32 2021
-89.30717,28.67287,Thu Jan  7 02:56:41 2021
-89.30772,28.6732,Thu Jan  7 02:57:51 2021
-89.3083,28.67357,Thu Jan  7 02:59:01 2021
-89.30878,28.67385,Thu Jan  7 03:00:00 2021
-89.30933,28.67422,Thu Jan  7 03:01:12 2021
-89.30997,28.67462,Thu Jan  7 03:02:30 2021
-89.31063,28.675,Thu Jan  7 03:03:51 2021
-89.31118,28.67532,Thu Jan  7 03:05:01 2021
-89.31173,28.67567,Thu Jan  7 03:06:11 2021
-89.3123,28.676,Thu Jan  7 03:07:21 2021
-89.31293,28.67635,Thu Jan  7 03:08:31 2021
-89.3135,28.6767,Thu Jan  7 03:09:42 2021
-89.31405,28.67707,Thu Jan  7 03:10:51 2021
-89.31463,28.67737,Thu Jan  7 03:12:00 2021
-89.31508,28.67763,Thu Jan  7 03:13:01 2021
-89.31567,28.67797,Thu Jan  7 03:14:11 2021
-89.31622,28.67827,Thu Jan  7 03:15:22 2021
-89.3168,28.67857,Thu Jan  7 03:16:31 2021
-89.31738,28.67863,Thu Jan  7 03:17:42 2021
-89.31818,28.6786,Thu Jan  7 03:18:51 2021
-89.31925,28.6786,Thu Jan  7 03:20:00 2021
-89.32052,28.6788,Thu Jan  7 03:21:05 2021
-89.32177,28.67935,Thu Jan  7 03:22:11 2021
-89.32277,28.68027,Thu Jan  7 03:23:14 2021
-89.32343,28.6815,Thu Jan  7 03:24:21 2021
-89.32365,28.68275,Thu Jan  7 03:25:22 2021
-89.32327,28.6841,Thu Jan  7 03:26:31 2021
-89.32232,28.68545,Thu Jan  7 03:27:42 2021
-89.32112,28.6867,Thu Jan  7 03:28:50 2021
-89.31948,28.68747,Thu Jan  7 03:30:00 2021
-89.31768,28.68807,Thu Jan  7 03:31:10 2021
-89.31598,28.68848,Thu Jan  7 03:32:11 2021
-89.31385,28.68895,Thu Jan  7 03:33:22 2021
-89.31165,28.68957,Thu Jan  7 03:34:31 2021
-89.30935,28.69025,Thu Jan  7 03:35:40 2021
-89.30725,28.6904,Thu Jan  7 03:36:50 2021
-89.30542,28.68982,Thu Jan  7 03:38:01 2021
-89.30372,28.68897,Thu Jan  7 03:39:10 2021
-89.30195,28.68792,Thu Jan  7 03:40:22 2021
-89.30015,28.68685,Thu Jan  7 03:41:31 2021
-89.29787,28.68567,Thu Jan  7 03:42:52 2021
-89.2959,28.68457,Thu Jan  7 03:44:01 2021
-89.29398,28.68337,Thu Jan  7 03:45:11 2021
-89.29197,28.68213,Thu Jan  7 03:46:21 2021
-89.28997,28.68093,Thu Jan  7 03:47:30 2021
-89.28793,28.67967,Thu Jan  7 03:48:40 2021
-89.28593,28.6784,Thu Jan  7 03:49:50 2021
-89.2836,28.67683,Thu Jan  7 03:51:11 2021
-89.28148,28.67552,Thu Jan  7 03:52:21 2021
-89.27943,28.67423,Thu Jan  7 03:53:31 2021
-89.27717,28.67315,Thu Jan  7 03:54:41 2021
-89.27457,28.67215,Thu Jan  7 03:56:01 2021
-89.27232,28.6713,Thu Jan  7 03:57:10 2021
-89.26997,28.67042,Thu Jan  7 03:58:20 2021
-89.26768,28.66957,Thu Jan  7 03:59:31 2021
-89.26637,28.66908,Thu Jan  7 04:00:10 2021
-89.26403,28.66823,Thu Jan  7 04:01:21 2021
-89.2617,28.66732,Thu Jan  7 04:02:31 2021
-89.25952,28.66653,Thu Jan  7 04:03:40 2021
-89.25763,28.66587,Thu Jan  7 04:04:41 2021
-89.25558,28.66512,Thu Jan  7 04:05:51 2021
-89.25357,28.66435,Thu Jan  7 04:07:01 2021
-89.25167,28.66355,Thu Jan  7 04:08:11 2021
-89.24975,28.66278,Thu Jan  7 04:09:22 2021
