longitude,latitude,time,SOG,Angle Difference
-87.7704,32.5758,Mon Dec 31 13:24:04 2018,4.6,-6.0
-87.77003,32.57787,Mon Dec 31 13:26:33 2018,1.9,-6.4
-87.76993,32.57839,Mon Dec 31 13:27:44 2018,1.8,18.80000000000001
-87.76975,32.57938,Mon Dec 31 13:28:50 2018,4.1,35.19999999999999
-87.77141,32.58163,Mon Dec 31 13:30:35 2018,6.6,23.399999999999977
-87.77368,32.58277,Mon Dec 31 13:31:44 2018,7.3,9.600000000000023
-87.77621,32.58348,Mon Dec 31 13:32:53 2018,6.6,-0.8999999999999773
-87.78051,32.58478,Mon Dec 31 13:35:34 2018,3.8,2.8000000000000114
-87.78194,32.58526,Mon Dec 31 13:37:05 2018,2.5,7.600000000000023
-87.78275,32.58536,Mon Dec 31 13:38:34 2018,1.5,17.30000000000001
-87.78365,32.58541,Mon Dec 31 13:39:38 2018,3.6,28.600000000000023
-87.78522,32.58476,Mon Dec 31 13:40:45 2018,5.5,23.0
-87.78683,32.58327,Mon Dec 31 13:41:54 2018,6.9,23.599999999999994
-87.78777,32.58132,Mon Dec 31 13:42:58 2018,7.2,18.099999999999994
-87.78753,32.57899,Mon Dec 31 13:44:05 2018,8.1,0.6999999999999886
-87.78728,32.5764,Mon Dec 31 13:45:13 2018,8.1,2.6999999999999886
-87.78695,32.57373,Mon Dec 31 13:46:24 2018,8.2,-0.8000000000000114
-87.78656,32.57112,Mon Dec 31 13:47:33 2018,7.9,-3.9000000000000057
-87.78631,32.56864,Mon Dec 31 13:48:45 2018,7.3,-7.0
-87.78639,32.56643,Mon Dec 31 13:49:53 2018,6.5,-4.400000000000006
-87.7868,32.56474,Mon Dec 31 13:50:55 2018,5.7,-4.599999999999994
-87.78736,32.56307,Mon Dec 31 13:52:04 2018,4.9,-2.5999999999999943
-87.78789,32.562,Mon Dec 31 13:53:14 2018,2.8,3.9000000000000057
-87.78833,32.56142,Mon Dec 31 13:54:24 2018,2.0,6.699999999999989
-87.78902,32.56072,Mon Dec 31 13:55:34 2018,3.1,-1.3000000000000114
-87.78964,32.56015,Mon Dec 31 13:56:38 2018,2.0,-12.800000000000011
-87.79003,32.55994,Mon Dec 31 13:57:40 2018,1.4,-31.400000000000006
-87.79085,32.56006,Mon Dec 31 13:58:41 2018,3.6,-13.600000000000023
-87.79195,32.56078,Mon Dec 31 13:59:44 2018,4.5,-6.300000000000011
-87.79226,32.56117,Mon Dec 31 14:00:05 2018,4.8,-4.0
-87.79316,32.56238,Mon Dec 31 14:01:15 2018,4.1,-1.8999999999999773
-87.79404,32.5633,Mon Dec 31 14:02:35 2018,2.8,-6.5
-87.79462,32.56377,Mon Dec 31 14:03:36 2018,2.3,-9.600000000000023
-87.7953,32.56407,Mon Dec 31 14:04:45 2018,1.9,-16.100000000000023
-87.796,32.56417,Mon Dec 31 14:05:55 2018,1.8,-15.5
-87.79667,32.5642,Mon Dec 31 14:07:04 2018,1.7,0.8999999999999773
-87.79726,32.56412,Mon Dec 31 14:08:08 2018,1.7,7.5
-87.79776,32.56386,Mon Dec 31 14:09:14 2018,1.7,7.199999999999989
-87.79838,32.5634,Mon Dec 31 14:10:15 2018,3.3,15.900000000000006
-87.799,32.56208,Mon Dec 31 14:11:24 2018,4.9,3.1999999999999886
-87.79969,32.56056,Mon Dec 31 14:12:34 2018,5.3,9.199999999999989
-87.80044,32.55892,Mon Dec 31 14:13:38 2018,6.5,33.0
-87.80027,32.55703,Mon Dec 31 14:14:44 2018,6.4,7.199999999999989
-87.79909,32.55499,Mon Dec 31 14:15:54 2018,7.4,-9.699999999999989
-87.7984,32.55245,Mon Dec 31 14:17:04 2018,8.2,-5.300000000000011
-87.79812,32.55012,Mon Dec 31 14:18:05 2018,8.4,1.4000000000000057
-87.79791,32.54749,Mon Dec 31 14:19:14 2018,8.2,1.3000000000000114
-87.79758,32.54485,Mon Dec 31 14:20:24 2018,8.2,-2.0999999999999943
-87.79725,32.54239,Mon Dec 31 14:21:27 2018,8.5,-18.80000000000001
-87.79783,32.53986,Mon Dec 31 14:22:34 2018,8.5,-7.5
-87.79926,32.53728,Mon Dec 31 14:23:45 2018,8.7,-4.300000000000011
-87.80107,32.53492,Mon Dec 31 14:24:55 2018,8.7,-3.5999999999999943
-87.80315,32.53271,Mon Dec 31 14:26:05 2018,8.7,-4.099999999999994
-87.8055,32.53078,Mon Dec 31 14:27:14 2018,8.7,1.0
-87.80806,32.52888,Mon Dec 31 14:28:25 2018,8.6,5.400000000000006
-87.81032,32.52699,Mon Dec 31 14:29:35 2018,8.0,10.400000000000006
-87.81201,32.52506,Mon Dec 31 14:30:44 2018,7.2,6.0
-87.81344,32.52322,Mon Dec 31 14:31:55 2018,6.1,6.699999999999989
-87.81437,32.52174,Mon Dec 31 14:33:03 2018,4.8,5.800000000000011
-87.81512,32.52049,Mon Dec 31 14:34:15 2018,3.9,5.199999999999989
-87.81571,32.51949,Mon Dec 31 14:35:23 2018,3.2,1.1999999999999886
-87.81619,32.51878,Mon Dec 31 14:36:35 2018,2.0,-5.400000000000006
-87.81673,32.51844,Mon Dec 31 14:37:44 2018,1.8,-6.599999999999994
-87.81744,32.51827,Mon Dec 31 14:38:48 2018,2.4,-12.699999999999989
-87.81834,32.5184,Mon Dec 31 14:39:54 2018,2.5,2.6000000000000227
-87.81914,32.51874,Mon Dec 31 14:41:03 2018,2.4,8.699999999999989
