longitude,latitude,time,SOG,Angle Difference
-74.81289,38.37253,Sat Apr 10 01:34:11 2021,3.3,-12.2
-74.81274,38.37357,Sat Apr 10 01:35:21 2021,3.2,-9.3
-74.81257,38.37459,Sat Apr 10 01:36:30 2021,3.2,-10.2
-74.8124,38.37559,Sat Apr 10 01:37:40 2021,3.2,-9.2
-74.81221,38.37664,Sat Apr 10 01:38:51 2021,3.2,-9.5
-74.81201,38.37768,Sat Apr 10 01:40:01 2021,3.2,-8.5
-74.81183,38.37872,Sat Apr 10 01:41:10 2021,3.3,-6.9
-74.81167,38.37975,Sat Apr 10 01:42:20 2021,3.2,-7.9
-74.81147,38.38096,Sat Apr 10 01:43:41 2021,3.2,-9.2
-74.81128,38.38198,Sat Apr 10 01:44:49 2021,3.3,-8.3
-74.81114,38.38286,Sat Apr 10 01:45:50 2021,3.1,-8.2
-74.81098,38.38388,Sat Apr 10 01:47:01 2021,3.2,-9.1
-74.81085,38.38493,Sat Apr 10 01:48:11 2021,3.2,-8.0
-74.81068,38.38595,Sat Apr 10 01:49:20 2021,3.2,-8.9
-74.81053,38.38698,Sat Apr 10 01:50:30 2021,3.2,-5.300000000000001
-74.8104,38.38802,Sat Apr 10 01:51:41 2021,3.2,-7.8
-74.81021,38.38904,Sat Apr 10 01:52:50 2021,3.2,-9.3
-74.81003,38.39009,Sat Apr 10 01:54:01 2021,3.2,-6.1
-74.80984,38.39113,Sat Apr 10 01:55:11 2021,3.2,-3.9000000000000004
-74.80967,38.39216,Sat Apr 10 01:56:21 2021,3.2,-9.8
-74.8095,38.39319,Sat Apr 10 01:57:31 2021,3.3,-6.2
-74.80935,38.39424,Sat Apr 10 01:58:41 2021,3.2,-7.1
-74.8092,38.39527,Sat Apr 10 01:59:50 2021,3.2,-6.1
-74.80918,38.39543,Sat Apr 10 02:00:01 2021,3.2,-9.0
-74.80904,38.39647,Sat Apr 10 02:01:11 2021,3.2,-7.699999999999999
-74.80887,38.39749,Sat Apr 10 02:02:21 2021,3.2,-7.5
-74.80866,38.39853,Sat Apr 10 02:03:31 2021,3.2,-4.5
-74.8086,38.39955,Sat Apr 10 02:04:39 2021,3.3,-7.699999999999989
-74.80843,38.40046,Sat Apr 10 02:05:41 2021,3.0,-11.7
-74.80829,38.40141,Sat Apr 10 02:06:51 2021,3.1,-9.1
-74.8081,38.4024,Sat Apr 10 02:08:00 2021,3.1,-6.4
-74.80792,38.40342,Sat Apr 10 02:09:11 2021,3.2,-3.6999999999999993
-74.80772,38.40453,Sat Apr 10 02:10:21 2021,3.5,-7.8
-74.80757,38.4057,Sat Apr 10 02:11:30 2021,3.7,-11.5
-74.80734,38.40688,Sat Apr 10 02:12:40 2021,3.7,-7.9
-74.80714,38.40807,Sat Apr 10 02:13:50 2021,3.7,-9.6
-74.80696,38.40926,Sat Apr 10 02:15:00 2021,3.7,-9.6
-74.80682,38.41046,Sat Apr 10 02:16:11 2021,3.6,-5.800000000000001
-74.80663,38.41162,Sat Apr 10 02:17:20 2021,3.6,-6.5
-74.80643,38.41278,Sat Apr 10 02:18:30 2021,3.7,-6.2
-74.80625,38.414,Sat Apr 10 02:19:40 2021,3.6,-9.8
-74.80607,38.41518,Sat Apr 10 02:20:50 2021,3.7,-7.0
-74.80585,38.4164,Sat Apr 10 02:22:01 2021,3.8,-6.9
-74.80565,38.4176,Sat Apr 10 02:23:10 2021,3.7,-8.1
-74.80545,38.41881,Sat Apr 10 02:24:20 2021,3.7,-7.9
-74.80525,38.42002,Sat Apr 10 02:25:30 2021,3.7,-10.0
-74.80507,38.42108,Sat Apr 10 02:26:31 2021,3.7,-6.199999999999999
-74.80487,38.42224,Sat Apr 10 02:27:40 2021,3.8,-10.7
-74.80469,38.42347,Sat Apr 10 02:28:49 2021,3.7,-7.9
-74.80454,38.42452,Sat Apr 10 02:29:50 2021,3.8,-4.0
-74.80436,38.42573,Sat Apr 10 02:31:01 2021,3.8,-7.2
-74.80416,38.42693,Sat Apr 10 02:32:10 2021,3.8,-9.3
-74.80399,38.42815,Sat Apr 10 02:33:21 2021,3.7,-7.6
-74.80379,38.42936,Sat Apr 10 02:34:31 2021,3.7,-7.1
-74.80358,38.43054,Sat Apr 10 02:35:40 2021,3.7,-5.6
-74.8034,38.43179,Sat Apr 10 02:36:51 2021,3.7,-9.0
-74.80322,38.43298,Sat Apr 10 02:38:01 2021,3.8,-7.5
-74.80303,38.4342,Sat Apr 10 02:39:10 2021,3.7,-11.5
-74.80283,38.43539,Sat Apr 10 02:40:20 2021,3.8,-6.7
-74.80262,38.43662,Sat Apr 10 02:41:31 2021,3.8,-7.7
-74.80243,38.43779,Sat Apr 10 02:42:40 2021,3.7,-5.6
-74.80223,38.43899,Sat Apr 10 02:43:50 2021,3.7,-7.5
-74.80201,38.4402,Sat Apr 10 02:45:00 2021,3.7,-3.3000000000000007
-74.80181,38.44141,Sat Apr 10 02:46:09 2021,3.8,-7.6
-74.80161,38.44263,Sat Apr 10 02:47:21 2021,3.7,-7.1
-74.8014,38.44383,Sat Apr 10 02:48:30 2021,3.7,-8.6
-74.80124,38.44484,Sat Apr 10 02:49:31 2021,3.7,-7.8
-74.80108,38.44603,Sat Apr 10 02:50:41 2021,3.7,-5.8
-74.80091,38.44722,Sat Apr 10 02:51:51 2021,3.7,-10.8
-74.80072,38.44839,Sat Apr 10 02:53:00 2021,3.7,-4.9
-74.80055,38.4496,Sat Apr 10 02:54:10 2021,3.7,-6.3
-74.8004,38.45082,Sat Apr 10 02:55:21 2021,3.8,-10.2
-74.8002,38.45201,Sat Apr 10 02:56:30 2021,3.7,-7.0
-74.79998,38.45317,Sat Apr 10 02:57:40 2021,3.8,-9.8
-74.79975,38.45437,Sat Apr 10 02:58:50 2021,3.6,-4.0
-74.79957,38.45557,Sat Apr 10 03:00:01 2021,3.6,-8.0
-74.79941,38.45671,Sat Apr 10 03:01:09 2021,3.6,-8.1
-74.79921,38.45789,Sat Apr 10 03:02:21 2021,3.6,-7.0
-74.79902,38.45907,Sat Apr 10 03:03:31 2021,3.6,-6.8
-74.79885,38.46021,Sat Apr 10 03:04:40 2021,3.5,-9.3
-74.79864,38.46136,Sat Apr 10 03:05:51 2021,3.5,-7.2
-74.79844,38.46251,Sat Apr 10 03:07:00 2021,3.5,-8.9
-74.79823,38.46364,Sat Apr 10 03:08:09 2021,3.6,-7.3
-74.79803,38.46462,Sat Apr 10 03:09:10 2021,3.6,-2.8000000000000007
-74.79822,38.46575,Sat Apr 10 03:10:21 2021,3.6,-10.0
-74.79839,38.4669,Sat Apr 10 03:11:31 2021,3.6,-5.5
-74.79857,38.46806,Sat Apr 10 03:12:41 2021,3.6,-7.100000000000023
-74.79874,38.46922,Sat Apr 10 03:13:51 2021,3.6,-5.699999999999989
-74.7989,38.47036,Sat Apr 10 03:15:00 2021,3.5,-7.300000000000011
-74.79908,38.47137,Sat Apr 10 03:16:01 2021,3.5,-8.100000000000023
-74.79923,38.47251,Sat Apr 10 03:17:10 2021,3.6,-7.5
-74.79941,38.47386,Sat Apr 10 03:18:31 2021,3.6,-9.600000000000023
-74.79955,38.47501,Sat Apr 10 03:19:41 2021,3.5,-9.600000000000023
-74.79964,38.47617,Sat Apr 10 03:20:51 2021,3.6,-7.0
-74.79973,38.47733,Sat Apr 10 03:22:01 2021,3.5,-8.899999999999977
-74.79981,38.47848,Sat Apr 10 03:23:10 2021,3.5,-6.399999999999977
-74.79986,38.47962,Sat Apr 10 03:24:20 2021,3.6,-2.8
-74.79995,38.48077,Sat Apr 10 03:25:31 2021,3.5,-8.600000000000023
-74.79994,38.4819,Sat Apr 10 03:26:41 2021,3.5,-9.199999999999989
-74.7999,38.48304,Sat Apr 10 03:27:50 2021,3.5,-2.5
-74.79988,38.48416,Sat Apr 10 03:29:01 2021,3.4,-3.8
-74.79987,38.48528,Sat Apr 10 03:30:10 2021,3.6,-6.9
-74.79984,38.48643,Sat Apr 10 03:31:21 2021,3.6,-7.100000000000023
-74.79983,38.48759,Sat Apr 10 03:32:30 2021,3.5,-6.3
-74.79986,38.48872,Sat Apr 10 03:33:40 2021,3.6,-7.300000000000011
-74.79993,38.48989,Sat Apr 10 03:34:51 2021,3.6,-6.0
-74.8003,38.49096,Sat Apr 10 03:35:59 2021,3.5,-4.5
-74.80092,38.49181,Sat Apr 10 03:37:00 2021,3.6,-5.5
-74.8021,38.49273,Sat Apr 10 03:38:20 2021,3.5,-3.6999999999999886
-74.80335,38.49314,Sat Apr 10 03:39:24 2021,3.6,-3.1999999999999886
-74.80474,38.49312,Sat Apr 10 03:40:28 2021,3.8,-3.3999999999999773
-74.80602,38.49279,Sat Apr 10 03:41:30 2021,3.8,-7.900000000000006
-74.80724,38.49232,Sat Apr 10 03:42:31 2021,3.7,-8.099999999999994
-74.80864,38.4918,Sat Apr 10 03:43:40 2021,3.8,-9.699999999999989
-74.80972,38.49133,Sat Apr 10 03:44:43 2021,2.9,-4.5
-74.81036,38.49069,Sat Apr 10 03:45:50 2021,2.5,-5.300000000000011
-74.8109,38.49005,Sat Apr 10 03:47:00 2021,2.3,-0.6999999999999886
-74.81126,38.48946,Sat Apr 10 03:48:04 2021,2.1,8.099999999999994
-74.81139,38.48876,Sat Apr 10 03:49:10 2021,2.6,2.1999999999999886
-74.81149,38.48786,Sat Apr 10 03:50:11 2021,3.4,-3.6999999999999886
-74.8117,38.48669,Sat Apr 10 03:51:21 2021,3.7,-3.8000000000000114
-74.81188,38.48549,Sat Apr 10 03:52:31 2021,3.8,-0.19999999999998863
-74.81205,38.48426,Sat Apr 10 03:53:41 2021,3.8,-1.9000000000000057
-74.81225,38.48306,Sat Apr 10 03:54:50 2021,3.8,-2.0
-74.81246,38.48184,Sat Apr 10 03:56:00 2021,3.8,-1.9000000000000057
-74.81266,38.48063,Sat Apr 10 03:57:10 2021,3.8,-1.0
-74.81287,38.4794,Sat Apr 10 03:58:21 2021,3.8,-2.5
-74.81307,38.47819,Sat Apr 10 03:59:31 2021,3.8,-2.6999999999999886
-74.81316,38.47767,Sat Apr 10 04:00:00 2021,3.8,-2.5999999999999943
-74.81334,38.47674,Sat Apr 10 04:01:01 2021,3.2,1.6999999999999886
-74.81355,38.47556,Sat Apr 10 04:02:20 2021,3.3,2.1999999999999886
-74.81371,38.4745,Sat Apr 10 04:03:31 2021,3.3,-0.5999999999999943
-74.81387,38.47328,Sat Apr 10 04:04:51 2021,3.4,-2.0
-74.814,38.47211,Sat Apr 10 04:06:00 2021,3.8,-1.3000000000000114
-74.81418,38.47089,Sat Apr 10 04:07:10 2021,3.8,-2.0999999999999943
-74.81439,38.46965,Sat Apr 10 04:08:20 2021,3.9,-1.9000000000000057
-74.81463,38.46839,Sat Apr 10 04:09:30 2021,3.9,-2.0
-74.81486,38.46723,Sat Apr 10 04:10:40 2021,3.4,2.9000000000000057
-74.81504,38.4663,Sat Apr 10 04:11:49 2021,2.7,6.5
-74.81518,38.46547,Sat Apr 10 04:13:00 2021,2.4,8.599999999999994
-74.81529,38.46483,Sat Apr 10 04:14:01 2021,2.3,1.9000000000000057
-74.81543,38.46407,Sat Apr 10 04:15:11 2021,2.3,10.199999999999989
-74.81555,38.46332,Sat Apr 10 04:16:20 2021,2.3,3.1999999999999886
-74.81568,38.46257,Sat Apr 10 04:17:31 2021,2.2,7.099999999999994
-74.8157,38.4616,Sat Apr 10 04:18:41 2021,3.4,2.6999999999999886
-74.8158,38.46043,Sat Apr 10 04:19:51 2021,3.8,-1.5
-74.81598,38.45915,Sat Apr 10 04:21:01 2021,3.9,-1.0
-74.81623,38.45793,Sat Apr 10 04:22:10 2021,3.9,0.30000000000001137
-74.81644,38.4567,Sat Apr 10 04:23:20 2021,3.8,-0.8000000000000114
-74.81664,38.45565,Sat Apr 10 04:24:30 2021,3.2,4.199999999999989
-74.81688,38.4545,Sat Apr 10 04:25:41 2021,3.6,0.19999999999998863
