longitude,latitude,time,SOG,Angle Difference
-90.89377,30.06249,Mon Jan 14 02:11:17 2019,9.4,31.599999999999994
-90.89067,30.06096,Mon Jan 14 02:12:27 2019,9.6,35.7
-90.88779,30.06012,Mon Jan 14 02:13:28 2019,9.5,33.0
-90.88326,30.05973,Mon Jan 14 02:14:57 2019,9.5,25.0
-90.87954,30.06025,Mon Jan 14 02:16:08 2019,10.0,14.0
-90.87586,30.06124,Mon Jan 14 02:17:18 2019,10.5,2.0
-90.86752,30.06304,Mon Jan 14 02:19:56 2019,9.6,-6.0
-90.85948,30.06355,Mon Jan 14 02:22:47 2019,8.4,-16.0
-90.85599,30.06321,Mon Jan 14 02:24:07 2019,7.8,-19.0
-90.85074,30.06206,Mon Jan 14 02:26:16 2019,8.1,-26.0
-90.84828,30.06002,Mon Jan 14 02:27:46 2019,6.7,-7.0
-90.84673,30.05854,Mon Jan 14 02:28:56 2019,5.7,-8.800000000000011
-90.84475,30.05686,Mon Jan 14 02:30:47 2019,3.9,-22.0
-90.84375,30.05615,Mon Jan 14 02:31:56 2019,3.4,-23.0
-90.84296,30.05562,Mon Jan 14 02:33:16 2019,0.8,-57.0
-90.8423,30.05547,Mon Jan 14 02:35:37 2019,0.2,-74.7
-90.84248,30.05544,Mon Jan 14 02:37:26 2019,0.4,81.19999999999999
-90.84223,30.05533,Mon Jan 14 02:39:07 2019,0.9,-42.7
-90.84222,30.05533,Mon Jan 14 02:40:16 2019,0.3,168.0
-90.84216,30.05535,Mon Jan 14 02:42:06 2019,0.1,-29.0
-90.84219,30.05524,Mon Jan 14 02:44:16 2019,0.2,71.0
-90.84222,30.05507,Mon Jan 14 02:46:47 2019,0.3,32.0
-90.84216,30.05509,Mon Jan 14 02:49:16 2019,0.3,-106.0
-90.84214,30.05517,Mon Jan 14 02:50:47 2019,0.4,162.0
-90.84227,30.05529,Mon Jan 14 02:52:07 2019,0.2,-167.2
-90.84222,30.05527,Mon Jan 14 02:53:37 2019,0.2,34.0
-90.84218,30.05525,Mon Jan 14 02:54:46 2019,0.2,-85.0
-90.84223,30.0554,Mon Jan 14 02:56:26 2019,0.6,-178.0
-90.84231,30.05559,Mon Jan 14 02:57:47 2019,0.3,175.0
-90.84235,30.05564,Mon Jan 14 02:59:56 2019,0.2,-70.0
-90.84233,30.05564,Mon Jan 14 03:00:06 2019,0.3,-69.0
-90.84225,30.05567,Mon Jan 14 03:01:17 2019,0.3,-108.0
-90.84216,30.05566,Mon Jan 14 03:02:28 2019,0.1,-34.0
-90.84219,30.05563,Mon Jan 14 03:03:47 2019,0.1,23.0
-90.84216,30.05563,Mon Jan 14 03:04:57 2019,0.1,-162.3
-90.84216,30.05564,Mon Jan 14 03:05:58 2019,0.1,12.0
-90.84217,30.05562,Mon Jan 14 03:07:07 2019,0.1,-10.0
-90.84217,30.05562,Mon Jan 14 03:08:26 2019,0.0,-10.0
-90.84214,30.05561,Mon Jan 14 03:09:27 2019,0.1,13.300000000000011
-90.84217,30.05561,Mon Jan 14 03:10:37 2019,0.1,-172.0
-90.84215,30.05564,Mon Jan 14 03:12:07 2019,0.2,-10.0
-90.84212,30.05558,Mon Jan 14 03:13:16 2019,0.1,14.0
-90.84212,30.05556,Mon Jan 14 03:14:57 2019,0.1,73.0
-90.84209,30.05556,Mon Jan 14 03:16:07 2019,0.1,-65.6
-90.84209,30.05555,Mon Jan 14 03:17:08 2019,0.0,-148.0
-90.84206,30.05554,Mon Jan 14 03:18:56 2019,0.0,-80.0
-90.84207,30.05554,Mon Jan 14 03:20:16 2019,0.0,-79.0
-90.84206,30.05553,Mon Jan 14 03:21:27 2019,0.0,-77.9
-90.84204,30.05554,Mon Jan 14 03:22:56 2019,0.0,-80.0
-90.84204,30.05555,Mon Jan 14 03:25:37 2019,0.0,-179.0
-90.84206,30.05555,Mon Jan 14 03:27:37 2019,0.0,76.9
-90.84206,30.05554,Mon Jan 14 03:29:37 2019,0.1,74.0
-90.84204,30.05555,Mon Jan 14 03:30:56 2019,0.0,-142.9
-90.84204,30.05554,Mon Jan 14 03:32:26 2019,0.0,-143.9
-90.84207,30.05553,Mon Jan 14 03:34:26 2019,0.0,135.0
-90.84204,30.05554,Mon Jan 14 03:35:37 2019,0.0,-167.0
-90.84204,30.05554,Mon Jan 14 03:37:07 2019,0.0,-166.0
-90.84208,30.05553,Mon Jan 14 03:38:37 2019,0.0,142.0
-90.84207,30.05554,Mon Jan 14 03:39:46 2019,0.0,-99.3
-90.84207,30.05554,Mon Jan 14 03:41:06 2019,0.0,-98.3
-90.8421,30.05555,Mon Jan 14 03:44:06 2019,0.2,-139.0
