longitude,latitude,time
-124.14521,46.61341,Sat Jan 15 09:00:06 2022
-124.1456,46.61578,Sat Jan 15 09:01:15 2022
-124.14601,46.61772,Sat Jan 15 09:02:17 2022
-124.14669,46.62029,Sat Jan 15 09:03:35 2022
-124.14677,46.62234,Sat Jan 15 09:04:36 2022
-124.14702,46.62473,Sat Jan 15 09:05:45 2022
-124.14712,46.62671,Sat Jan 15 09:06:46 2022
-124.14794,46.62921,Sat Jan 15 09:08:04 2022
-124.14845,46.63121,Sat Jan 15 09:09:05 2022
-124.14823,46.63322,Sat Jan 15 09:10:07 2022
-124.14832,46.63563,Sat Jan 15 09:11:15 2022
-124.14888,46.63797,Sat Jan 15 09:12:24 2022
-124.14976,46.6399,Sat Jan 15 09:13:26 2022
-124.15079,46.64181,Sat Jan 15 09:14:27 2022
-124.15197,46.64406,Sat Jan 15 09:15:34 2022
-124.15347,46.64661,Sat Jan 15 09:16:55 2022
-124.15452,46.64852,Sat Jan 15 09:17:58 2022
-124.15628,46.65248,Sat Jan 15 09:19:55 2022
-124.15774,46.65532,Sat Jan 15 09:21:24 2022
-124.15874,46.65727,Sat Jan 15 09:22:26 2022
-124.15975,46.65923,Sat Jan 15 09:23:27 2022
-124.16102,46.66157,Sat Jan 15 09:24:35 2022
-124.16202,46.66382,Sat Jan 15 09:25:45 2022
-124.16309,46.66638,Sat Jan 15 09:27:04 2022
-124.16389,46.66836,Sat Jan 15 09:28:06 2022
-124.16484,46.67101,Sat Jan 15 09:29:25 2022
-124.19118,46.74325,Sat Jan 15 10:08:24 2022
-124.19156,46.74508,Sat Jan 15 10:09:25 2022
-124.19193,46.74731,Sat Jan 15 10:10:34 2022
-124.19301,46.74909,Sat Jan 15 10:11:36 2022
-124.19366,46.75094,Sat Jan 15 10:12:37 2022
-124.19407,46.75315,Sat Jan 15 10:13:44 2022
-124.1948,46.755,Sat Jan 15 10:14:45 2022
-124.19601,46.75711,Sat Jan 15 10:15:56 2022
-124.19749,46.76022,Sat Jan 15 10:17:34 2022
-124.19823,46.76211,Sat Jan 15 10:18:35 2022
-124.19873,46.76435,Sat Jan 15 10:19:44 2022
-124.19912,46.76624,Sat Jan 15 10:20:45 2022
-124.20081,46.77,Sat Jan 15 10:22:45 2022
-124.20235,46.77208,Sat Jan 15 10:23:55 2022
-124.20339,46.77384,Sat Jan 15 10:24:56 2022
-124.20393,46.77665,Sat Jan 15 10:26:26 2022
-124.20498,46.77944,Sat Jan 15 10:27:55 2022
-124.20852,46.78888,Sat Jan 15 10:32:55 2022
-124.20907,46.79078,Sat Jan 15 10:33:57 2022
-124.20981,46.79296,Sat Jan 15 10:35:05 2022
-124.21065,46.79521,Sat Jan 15 10:36:15 2022
-124.21151,46.79738,Sat Jan 15 10:37:25 2022
-124.21238,46.80058,Sat Jan 15 10:39:05 2022
-124.21323,46.80313,Sat Jan 15 10:40:25 2022
-124.21574,46.80877,Sat Jan 15 10:43:25 2022
-124.21786,46.8138,Sat Jan 15 10:46:04 2022
