Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,8,156,203,7,0,257
2019,3,170,193,14,0,265
2020,0,109,128,10,0,160
2021,1,83,181,7,0,297
2022,0,60,188,4,0,218
2023,0,114,228,2,0,219
