Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,3,7,0,0,0,0
2019,9,10,2,0,0,0
2020,21,5,58,0,0,0
2021,80,1,77,0,0,0
2022,83,4,78,0,0,0
2023,96,15,53,0,0,0
