Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,76,106,12,5,2,0
2019,57,91,5,2,5,0
2020,50,94,8,1,3,0
2021,91,122,11,4,12,2
2022,63,177,9,4,17,4
2023,40,229,11,1,13,2
