Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,630,881,173,249,241,0
2019,556,849,155,266,287,40
2020,518,648,86,108,198,63
2021,563,1061,129,58,171,49
2022,580,1190,132,205,284,26
2023,546,1104,119,155,346,153
