Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,262,944,700,160,6,0
2019,200,905,700,116,6,0
2020,144,694,776,147,1,4
2021,201,907,858,350,29,3
2022,165,1296,948,438,61,49
2023,193,1206,821,405,24,2
