Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,3,2,1,2,1,0
2019,3,3,0,2,8,1
2020,3,6,5,3,0,8
2021,1,2,0,0,2,3
2022,1,5,0,0,3,4
2023,1,6,2,3,0,4
