Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1321,3185,1738,171,23,0
2019,1035,2925,1249,83,26,0
2020,853,2212,974,64,42,6
2021,1137,3476,1463,279,56,98
2022,1381,3946,1494,188,77,72
2023,1345,3918,1260,180,54,196
