Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,334,1151,1209,141,13,0
2019,342,988,1061,199,7,0
2020,211,588,767,78,14,2
2021,331,1265,1177,142,30,2
2022,389,1335,1203,224,84,2
2023,372,1683,1291,166,50,24
