Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,1,0,0,0,0
2020,0,0,0,0,0,4
2021,0,6,1,0,0,31
2022,0,31,0,0,0,0
2023,0,6,43,0,0,0
