Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,1569,3744,1996,326,335,195
2019,1260,3405,1557,227,286,241
2020,1081,2578,1173,153,251,202
2021,1318,3856,1698,282,268,332
2022,1503,4395,1669,204,275,231
2023,1499,4270,1267,265,349,417
