Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,349,1228,466,189,520,408
2019,315,1155,519,143,571,294
2020,252,801,438,113,290,254
2021,414,1081,465,126,375,332
2022,477,1176,521,124,489,481
2023,410,1054,574,183,702,477
