Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,17,0,0,0,0
2020,0,0,0,0,0,0
2021,19,14,14,0,0,29
2022,0,140,0,0,2,0
2023,0,107,4,0,0,0
