Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,0,0,0
2019,0,9,0,0,0,0
2020,0,4,0,0,0,0
2021,47,88,11,174,30,2
2022,153,103,6,75,88,3
2023,40,220,118,0,19,40
