Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,509,1036,551,8,4,0
2019,491,916,366,2,11,0
2020,418,801,403,82,15,4
2021,609,1072,564,88,39,18
2022,560,1060,560,31,49,62
2023,431,1117,381,11,59,116
