Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,90,243,56,2,2,0
2019,92,226,39,0,4,0
2020,72,187,26,2,0,0
2021,112,251,16,2,0,4
2022,171,274,16,0,0,2
2023,157,287,16,2,0,5
