Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,580,1094,612,8,4,0
2019,546,988,394,2,14,0
2020,455,881,443,85,19,4
2021,659,1164,612,89,39,18
2022,591,1123,599,30,51,61
2023,468,1201,401,11,65,116
