Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,73,197,64,3,0,0
2019,31,244,14,3,0,0
2020,5,125,8,53,0,0
2021,74,468,91,23,70,217
2022,112,859,129,42,126,284
2023,74,547,253,3,125,376
