Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,2,0,0,0,0
2019,0,27,0,0,0,0
2020,0,15,0,0,0,69
2021,33,247,18,0,6,74
2022,2,265,20,0,31,30
2023,0,206,57,0,0,2
