Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,1,0,1,0,0
2019,0,2,0,1,0,0
2020,0,1,0,1,0,2
2021,0,3,2,0,1,1
2022,1,2,4,1,0,0
2023,0,2,3,1,0,0
