Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,0,0,0,5,2,3
2019,0,0,0,9,1,5
2020,0,0,0,3,1,3
2021,0,0,0,0,2,6
2022,0,1,0,4,5,12
2023,0,0,0,4,4,4
