Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,144,522,188,275,317,494
2019,161,567,198,209,263,445
2020,107,457,189,174,258,467
2021,182,423,227,172,224,535
2022,211,507,236,205,284,516
2023,221,440,224,188,288,487
