Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,335,1151,1211,141,13,0
2019,342,990,1060,198,7,0
2020,212,587,768,78,14,2
2021,331,1266,1176,142,30,2
2022,389,1332,1202,223,84,2
2023,371,1683,1290,166,50,24
