Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,31,207,246,20,0,377
2019,16,240,232,24,0,355
2020,8,160,155,11,0,206
2021,3,139,207,8,0,378
2022,11,123,212,7,0,302
2023,8,179,275,4,0,309
