Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,206,402,223,23,4,0
2019,243,355,237,15,8,0
2020,190,291,224,6,1,0
2021,249,501,257,7,4,0
2022,276,588,237,34,6,0
2023,280,517,227,25,1,2
