Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,54,290,210,91,147,44
2019,60,257,197,76,158,64
2020,31,198,211,121,111,15
2021,45,257,309,234,66,0
2022,41,242,245,167,14,1
2023,50,304,230,180,0,40
