Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,405,809,433,170,15,0
2019,349,838,397,159,2,2
2020,296,766,188,133,9,0
2021,429,893,267,154,9,2
2022,434,844,265,213,26,4
2023,408,928,353,222,20,0
