Year,150-180,180-215,215-250,250-275,275-300,Above 300
2018,863,1453,853,439,127,2
2019,782,1458,852,306,143,22
2020,726,1171,687,182,166,33
2021,842,1514,711,199,193,88
2022,962,1761,940,316,155,116
2023,950,1578,997,359,213,128
